Address,City,State,Zip,Property Type,Status,Extended Status,Listing Date,Listing Price,Sold Date,Sold Price,Beds,Baths,Square Ft,Lot Size,Year Built,Days on Site,Next Open House Start Time,Next Open House End Time,URL,MLS#,Favorite,Latitude,Longitude 
9016 Jasmine Lane,Irving,TX,75063,Single Family,Active,,8/30/2023 1:41:00 PM,719000,,,4,4,3594,0.162,2000,82,,,https://www.xome.com/homes-for-sale/9016-Jasmine-Lane-Irving-TX-75063-384005815,20416305,N,32.9293,-96.96615
3339 Garrett Drive,Irving,TX,75062,Single Family,Active,,8/30/2023 12:56:00 PM,699900,,,4,4,3332,0.129,2001,82,,,https://www.xome.com/homes-for-sale/3339-Garrett-Drive-Irving-TX-75062-384004446,20418528,N,32.84958,-96.93143
217 Old Hickory Drive,Irving,TX,75060,Single Family,Active,,8/30/2023 8:34:00 AM,345000,,,3,2,2189,0.147,1975,83,,,https://www.xome.com/homes-for-sale/217-Old-Hickory-Drive-Irving-TX-75060-383995944,20419726,N,32.79609,-96.94418
2801 Clearbrook Drive,Irving,TX,75062,Single Family,Active,,8/29/2023 10:18:00 PM,365000,,,3,2,2259,0.1901,1963,83,,,https://www.xome.com/homes-for-sale/2801-Clearbrook-Drive-Irving-TX-75062-383988446,20419575,N,32.84457,-96.96227
1307 Travis Circle,Irving,TX,75038,Single Family,Active,,8/24/2023 12:19:00 PM,1850000,,,4,5,6454,0.389,1999,88,,,https://www.xome.com/homes-for-sale/1307-Travis-Circle-Irving-TX-75038-383851860,20391576,N,32.86166,-96.96342
2505 Ridgewood Street,Irving,TX,75062,Single Family,Active,,8/19/2023 6:32:00 AM,265000,,,3,2,1198,0.161,1960,94,,,https://www.xome.com/homes-for-sale/2505-Ridgewood-Street-Irving-TX-75062-383700673,20408554,N,32.84742,-96.97958
1308 Towne Colony Drive,Irving,TX,75061,Single Family,Active,,8/16/2023 5:33:00 PM,437500,,,3,2,2080,0.115,1985,96,,,https://www.xome.com/homes-for-sale/1308-Towne-Colony-Drive-Irving-TX-75061-383438752,20408772,N,32.82702,-97.00999
3836 Carver Place,Irving,TX,75061,Single Family,Active,,8/13/2023 1:08:00 PM,279900,,,3,2,1015,0.131,1997,99,,,https://www.xome.com/homes-for-sale/3836-Carver-Place-Irving-TX-75061-383344841,20406340,N,32.82326,-96.99971
4555 N O Connor Road Unit 1277,Irving,TX,75062,Condo,Active,,8/12/2023 9:23:00 AM,300000,,,3,3,1402,17.153,1975,101,,,https://www.xome.com/homes-for-sale/4555-N-O-Connor-Road-Unit-1277-Irving-TX-75062-383330967,20406035,N,32.85937,-96.95457
1337 Linkside Drive,Irving,TX,75038,Townhouse,Active,Contingent,8/10/2023 8:53:00 AM,920000,,,2,4,2547,0.077,2023,103,,,https://www.xome.com/homes-for-sale/1337-Linkside-Drive-Irving-TX-75038-383256934,20402839,N,32.874,-96.9793
1912 Marvel Drive,Irving,TX,75060,Single Family,Active,,8/5/2023 6:23:00 AM,310900,,,4,2,1255,0.0288,1971,108,,,https://www.xome.com/homes-for-sale/1912-Marvel-Drive-Irving-TX-75060-383135059,20400154,N,32.79639,-96.97065
3408 Umyousef Court,Irving,TX,75038,Single Family,Active,,8/4/2023 1:09:00 PM,1047200,,,5,6,3424,0.092,2023,108,,,https://www.xome.com/homes-for-sale/3408-Umyousef-Court-Irving-TX-75038-383113498,20399716,N,32.874,-96.9793
