Address,City,State,Zip,Property Type,Status,Extended Status,Listing Date,Listing Price,Sold Date,Sold Price,Beds,Baths,Square Ft,Lot Size,Year Built,Days on Site,Next Open House Start Time,Next Open House End Time,URL,MLS#,Favorite,Latitude,Longitude 
21 Elderbrook Lane,Edgecliff Village,TX,76134,Single Family,NEW LISTING,,12/14/2023 6:26:00 AM,360000,,,4,2,1921,0.195,2022,3,,,https://www.xome.com/homes-for-sale/21-Elderbrook-Lane-Edgecliff-Village-TX-76134-387338679,20494081,N,32.65555,-97.33299
1425 Pepperidge Lane,Fort Worth,TX,76131,Single Family,NEW LISTING,,12/14/2023 5:10:00 AM,415000,,,4,3,3227,0.158,2004,3,,,https://www.xome.com/homes-for-sale/1425-Pepperidge-Lane-Fort-Worth-TX-76131-387338134,20490777,N,32.88612,-97.33637
1210 McMillan Drive,Cedar Hill,TX,75104,Single Family,NEW LISTING,,12/14/2023 12:54:00 AM,279900,,,3,2,1641,0.188,2004,3,,,https://www.xome.com/homes-for-sale/1210-McMillan-Drive-Cedar-Hill-TX-75104-387336792,20494761,N,32.57098,-96.92114
407 Phinney Ave.,Cockrell Hill,TX,75211,Single Family,NEW LISTING,,12/13/2023 10:25:00 PM,525000,,,4,3,1966,0.2215,2023,3,12/17/2023 1:00:00 PM,12/17/2023 3:00:00 PM,https://www.xome.com/homes-for-sale/407-Phinney-Ave-Cockrell-Hill-TX-75211-387335155,20494412,N,32.74216,-96.88728
66 Lucas Lane,Edgecliff Village,TX,76134,Single Family,NEW LISTING,,12/13/2023 9:22:00 PM,389900,,,4,2,2400,0.1961,2023,3,,,https://www.xome.com/homes-for-sale/66-Lucas-Lane-Edgecliff-Village-TX-76134-387334278,20490017,N,32.65274,-97.33767
704 Indian Springs Trail Unit TX,Kennedale,TX,76060,Single Family,NEW LISTING,,12/13/2023 8:21:00 PM,525000,,,4,3,2440,0.7532,1985,3,,,https://www.xome.com/homes-for-sale/704-Indian-Springs-Trail-Unit-TX-Kennedale-TX-76060-387333415,20493706,N,32.65307,-97.21351
1315 White Oak,Cedar Hill,TX,75104,Single Family,NEW LISTING,,12/13/2023 8:06:00 PM,399999,,,4,3,3089,0.175,2004,3,,,https://www.xome.com/homes-for-sale/1315-White-Oak-Cedar-Hill-TX-75104-387333252,20494713,N,32.61915,-96.95152
108 St Elias Drive,Burleson,TX,76028,Single Family,NEW LISTING,,12/13/2023 7:51:00 PM,489000,,,4,4,2850,0.246,2018,3,,,https://www.xome.com/homes-for-sale/108-St-Elias-Drive-Burleson-TX-76028-387332995,20492856,N,32.51865,-97.32076
1530 Avenue F,Grand Prairie,TX,75051,Single Family,NEW LISTING,,12/13/2023 7:36:00 PM,430000,,,3,3,2261,0.21,2017,3,,,https://www.xome.com/homes-for-sale/1530-Avenue-F-Grand-Prairie-TX-75051-387332855,20492804,N,32.7251,-96.97814
1805 Middleton Drive,Mansfield,TX,76063,Single Family,NEW LISTING,,12/13/2023 7:22:00 PM,500000,,,4,3,2517,0.179,2019,3,12/17/2023 12:00:00 PM,12/17/2023 2:00:00 PM,https://www.xome.com/homes-for-sale/1805-Middleton-Drive-Mansfield-TX-76063-387332582,20494670,N,32.60354,-97.11247
